2026-05-07 14:33:45 | INFO     | dqengine.services.orchestrator | Step 6: 异常值检测 (方法: iqr)
2026-05-07 14:33:45 | INFO     | dqengine.services.orchestrator |   检测到 0 个异常值
2026-05-07 14:33:45 | INFO     | dqengine.services.orchestrator | Step 8: 清洗后数据分析
2026-05-07 14:33:45 | INFO     | dqengine.services.orchestrator |   清洗后质量评分: 100.0 (A)
2026-05-07 14:33:45 | INFO     | dqengine.services.orchestrator | 数据已保存: C:\Users\13033\AppData\Local\Temp\tmppbd_5khv.csv
2026-05-07 14:33:45 | INFO     | dqengine.services.orchestrator | Step 10: 生成报告
2026-05-07 14:33:45 | INFO     | dqengine.services.orchestrator | 报告已生成: C:\Users\13033\AppData\Local\Temp\tmpe5scamnj.html
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpu2zw80k1.csv (编码: utf-8)
2026-05-07 14:33:45 | INFO     | dqengine.pipeline.generator | Pipeline 已生成: C:\Users\13033\AppData\Local\Temp\tmp7tbhhps9.py (4 个步骤)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: test.csv (编码: utf-8)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: sample.csv (编码: utf-8)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: gbk_test.csv (编码: gbk)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | Excel 加载: test.xlsx
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | JSON 加载: tmp89c2a9e_.json
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpavqoo171.csv (编码: utf-8)
2026-05-07 14:33:47 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpw7dcwj8w.csv (编码: utf-8)
2026-05-07 14:33:47 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpojvr_3iy.csv (编码: utf-8)
2026-05-07 14:33:47 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp1degwley.csv (编码: utf-8)
